Output:

2018-03-23 08:38:39	Starting iteration: 1/19. Stock: Aker Solutions. Sample size: 125 
2018-03-23 08:40:04		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 35/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:04		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 34/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:08		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 36/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:40:08		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 37/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:40:12		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 38/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0111). Iterasjon fullført!
2018-03-23 08:40:14		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 41/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:14		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 43/1553. Distribution: Student Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:40:15		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 40/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:40:15		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 39/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0111). Iterasjon fullført!
2018-03-23 08:40:17		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 42/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:22		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 44/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:23		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 45/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:24		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 47/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
